TransactionID,CustomerID,ProductID,ProductName,Quantity,PriceperUnit,Date,TotalPrice,Region
1,373,109,Cereal,7,5.0,8/8/2022,35.0,Colombo
2,519,100,Apple,6,1.0,12/31/2022,6.0,Colombo
3,885,100,Apple,8,1.0,1/9/2023,8.0,Colombo
4,716,104,Beef,10,10.0,10/21/2022,100.0,Colombo
5,557,102,Cheese,8,2.5,5/16/2022,20.0,Colombo
6,357,108,Yogurt,7,4.0,1/17/2023,28.0,Colombo
7,498,103,Bread,5,3.0,9/10/2022,15.0,Colombo
8,531,103,Bread,7,3.0,2/12/2023,21.0,Colombo
9,274,109,Cereal,3,5.0,3/21/2023,15.0,Colombo
10,897,105,Chicken,8,8.0,7/20/2022,64.0,Colombo
11,986,102,Cheese,5,2.5,8/10/2022,12.5,Colombo
12,984,101,Banana,10,1.5,11/17/2022,15.0,Colombo
13,608,101,Banana,6,1.5,2/8/2023,9.0,Colombo
14,508,109,Cereal,3,5.0,10/13/2022,15.0,Colombo
15,864,103,Bread,4,3.0,11/8/2022,12.0,Colombo
16,921,101,Banana,7,1.5,6/26/2022,10.5,Colombo
17,561,106,Fish,8,12.0,8/19/2022,96.0,Colombo
18,913,102,Cheese,8,2.5,6/30/2022,20.0,Colombo
19,278,104,Beef,4,10.0,9/20/2022,40.0,Colombo
20,846,107,Milk,2,2.0,2/21/2023,4.0,Colombo
21,439,100,Apple,2,1.0,10/26/2022,2.0,Colombo
22,106,106,Fish,5,12.0,6/27/2022,60.0,Colombo
23,774,100,Apple,1,1.0,9/24/2022,1.0,Colombo
24,558,108,Yogurt,8,4.0,2/20/2023,32.0,Colombo
25,685,108,Yogurt,1,4.0,1/10/2023,4.0,Colombo
26,517,105,Chicken,2,8.0,7/11/2022,16.0,Colombo
27,923,106,Fish,10,12.0,1/19/2023,120.0,Colombo
28,665,109,Cereal,5,5.0,11/13/2022,25.0,Colombo
29,649,104,Beef,1,10.0,5/9/2022,10.0,Colombo
